Date,Open,High,Low,Close,Adj Close,Volume
2001-07-01,825.000000,975.000000,800.000000,850.000000,462.626129,929095000
2001-08-01,850.000000,850.000000,775.000000,800.000000,444.557922,299631000
2001-09-01,800.000000,825.000000,700.000000,700.000000,388.988312,235190500
2001-10-01,700.000000,725.000000,650.000000,675.000000,375.095825,281096000
2001-11-01,675.000000,675.000000,550.000000,625.000000,347.310944,298989500
2001-12-01,625.000000,650.000000,575.000000,625.000000,347.310944,483700500
2002-01-01,625.000000,850.000000,600.000000,775.000000,430.665619,529833500
2002-02-01,775.000000,825.000000,700.000000,750.000000,416.773132,341494500
2002-03-01,775.000000,850.000000,725.000000,800.000000,444.557922,480447000
2002-04-01,825.000000,1150.000000,800.000000,1050.000000,583.482422,1106604500
2002-05-01,1050.000000,1100.000000,925.000000,1100.000000,611.267273,483399000
2002-06-01,1100.000000,1250.000000,1000.000000,1075.000000,597.375000,923100000
2002-07-01,1075.000000,1175.000000,975.000000,1125.000000,625.159851,442919000
2002-08-01,1100.000000,1100.000000,900.000000,925.000000,526.258911,391256000
2002-09-01,925.000000,925.000000,675.000000,750.000000,426.696289,548136000
2002-10-01,725.000000,775.000000,475.000000,625.000000,355.580231,648098500
2002-11-01,625.000000,700.000000,550.000000,575.000000,327.133850,961148000
2002-12-01,575.000000,650.000000,575.000000,600.000000,341.357025,222744000
2003-01-01,600.000000,625.000000,550.000000,575.000000,327.133850,187379000
2003-02-01,550.000000,575.000000,550.000000,575.000000,327.133850,76610000
2003-03-01,575.000000,625.000000,550.000000,600.000000,341.357025,178027500
2003-04-01,575.000000,750.000000,575.000000,725.000000,412.473145,659699000
2003-05-01,725.000000,875.000000,700.000000,875.000000,497.812378,562145500
2003-06-01,875.000000,950.000000,800.000000,850.000000,483.589142,484620000
2003-07-01,850.000000,900.000000,725.000000,775.000000,440.919556,267919500
2003-08-01,750.000000,750.000000,650.000000,675.000000,397.107849,286906000
2003-09-01,675.000000,775.000000,650.000000,725.000000,426.523254,482229000
2003-10-01,725.000000,825.000000,675.000000,700.000000,411.815613,465941000
2003-11-01,675.000000,725.000000,625.000000,675.000000,397.107849,206487000
2003-12-01,675.000000,825.000000,675.000000,800.000000,470.646454,497447000
2004-01-01,800.000000,925.000000,775.000000,850.000000,500.061737,708267000
2004-02-01,850.000000,875.000000,800.000000,850.000000,500.061737,207928500
2004-03-01,850.000000,875.000000,725.000000,800.000000,470.646454,315181000
2004-04-01,800.000000,825.000000,725.000000,750.000000,441.231049,265480000
2004-05-01,750.000000,750.000000,600.000000,700.000000,411.815613,259512000
2004-06-01,675.000000,700.000000,625.000000,700.000000,411.815613,100948000
2004-07-01,675.000000,750.000000,650.000000,700.000000,411.815613,158581000
2004-08-01,700.000000,725.000000,625.000000,675.000000,413.060669,86993500
2004-09-01,650.000000,750.000000,650.000000,675.000000,413.060669,188011500
2004-10-01,700.000000,725.000000,675.000000,675.000000,413.060669,110670000
2004-11-01,675.000000,750.000000,675.000000,750.000000,458.956085,288158500
